SACC code(d),Country of birth(d),2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23(e)
1101,Australia,11230,11990,12220,12370,13380,12970,12630,12600,12520,11570,11590,12000,12850,12930,12590,14530,6190,8890,8450
1102,Norfolk Island(f),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1199,"Aust E T, nec",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1201,New Zealand,5660,5720,6020,6630,6280,5850,8510,9380,8640,6440,5620,6060,5660,5500,5390,3970,2050,4150,7150
1301,New Caledonia,10,10,10,20,10,20,10,20,10,20,20,20,20,30,20,20,0,10,10
1302,PNG,160,140,180,200,160,140,160,220,160,100,120,140,130,100,100,140,20,80,150
1303,Solomon Islands,10,20,20,10,10,10,20,30,30,20,30,20,20,10,20,100,50,300,460
1304,Vanuatu,10,10,10,10,10,10,0,20,20,10,10,20,20,10,50,830,300,500,590
1401,Guam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1402,Kiribati,10,10,10,10,0,10,0,10,10,10,10,10,10,10,20,60,0,30,120
1403,Marshall Is,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1404,"Micronesia, F S",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1405,Nauru,20,20,30,10,10,10,0,20,10,10,10,10,10,10,10,20,0,10,10
1406,N Mariana Is,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1407,Palau,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
1501,Cook Islands,120,120,80,100,150,100,110,160,150,90,100,120,80,80,100,80,20,40,100
1502,Fiji,410,460,520,650,530,430,490,440,510,480,390,470,520,500,660,590,110,1210,1940
1503,French Poly,0,0,0,10,10,10,10,10,10,0,10,10,10,10,0,10,0,0,10
1504,Niue,10,10,10,20,10,10,10,10,10,10,0,10,10,10,10,10,0,0,10
1505,Samoa,320,310,270,290,430,380,540,760,980,730,710,840,880,820,740,710,380,730,920
1506,Samoa American,10,0,0,10,10,10,10,20,30,20,20,20,20,20,20,10,0,10,10
1507,Tokelau,0,0,0,10,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0
1508,Tonga,70,70,90,70,110,130,140,170,150,190,160,140,150,130,190,510,70,120,360
1511,Tuvalu,0,0,0,10,0,10,0,0,10,10,10,0,10,10,10,10,0,10,0
1512,Wallis/Futuna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1513,Pitcairn Is,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1599,"Polynesia, nec",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1601,Adelie Land,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1602,Argentinian A T,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1603,Australian A T,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1604,British A T,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1605,Chilean A T,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1606,Queen Maud Land,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1607,Ross Dependency,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100,"UK, CIs & IOM",6670,7470,7750,8240,8110,7730,8930,9080,8320,7060,7030,7130,7530,7140,6950,6410,1220,3560,7140
2201,Ireland,670,690,820,1150,1500,1390,2330,2630,1760,1140,840,870,1080,1260,1490,1390,110,720,2840
