SACC code(d),Country of birth(d),2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23(e)
1101,Australia,10000,10490,12130,11610,11880,11670,10990,10110,10360,9330,9350,10150,10390,10200,10530,13070,6060,6620,7130
1102,Norfolk Island(f),20,20,20,20,20,20,10,20,20,20,10,30,30,0,0,0,0,0,0
1199,"Aust E T, nec",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1201,New Zealand,12760,13360,16120,18650,16520,12410,16390,17370,14410,9910,7850,8060,7740,7520,7560,5570,3140,5550,9310
1301,New Caledonia,100,60,90,90,100,110,70,40,40,50,50,50,60,40,50,50,20,50,60
1302,PNG,810,910,910,1010,990,1000,960,900,900,820,770,980,890,730,810,870,180,740,1130
1303,Solomon Islands,180,110,120,120,120,100,130,130,130,70,90,100,110,120,130,150,570,1170,720
1304,Vanuatu,30,50,50,50,40,40,40,50,40,30,40,50,40,40,110,660,540,490,900
1401,Guam,0,0,0,0,10,0,0,0,0,0,0,10,0,0,10,0,0,0,0
1402,Kiribati,40,30,40,40,50,50,10,20,20,10,10,20,50,50,50,50,0,100,220
1403,Marshall Is,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
1404,"Micronesia, F S",20,10,0,10,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0
1405,Nauru,20,60,80,40,20,20,10,10,20,20,30,20,30,30,70,60,10,60,100
1406,N Mariana Is,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1407,Palau,0,0,0,0,0,0,10,0,0,0,0,10,0,0,0,0,0,0,0
1501,Cook Islands,110,130,150,190,160,130,200,210,210,150,110,110,100,70,80,80,30,40,80
1502,Fiji,460,610,660,770,780,620,550,670,600,520,500,470,480,460,600,740,190,850,2180
1503,French Poly,10,20,20,20,20,20,20,20,20,10,10,10,20,20,30,10,0,20,10
1504,Niue,30,30,20,30,30,30,30,20,30,20,20,20,10,20,10,10,10,10,10
1505,Samoa,510,420,400,530,570,450,650,830,960,660,620,690,690,610,600,660,470,1170,920
1506,Samoa American,10,10,20,10,10,20,10,10,30,20,10,10,20,10,10,10,10,0,10
1507,Tokelau,20,30,20,20,20,20,30,30,30,10,20,10,20,10,10,20,0,10,30
1508,Tonga,100,80,90,120,120,140,130,170,160,170,160,170,130,170,240,620,770,510,850
1511,Tuvalu,20,20,10,10,10,10,0,20,10,20,10,10,10,10,30,20,0,10,50
1512,Wallis/Futuna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1513,Pitcairn Is,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1599,"Polynesia, nec",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1601,Adelie Land,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
