SACC code(d),Country of birth(d),2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23(e)
1101,Australia,750,780,740,790,880,780,750,660,650,690,650,630,640,660,690,920,360,460,470
1102,Norfolk Island(f),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1199,"Aust E T, nec",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1201,New Zealand,160,190,170,210,230,220,200,200,200,140,140,130,130,130,130,130,60,120,170
1301,New Caledonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1302,PNG,10,20,20,20,10,10,10,20,10,10,10,10,0,0,10,20,0,10,160
1303,Solomon Islands,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,20,40,30
1304,Vanuatu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,200,190,370,250
1401,Guam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1402,Kiribati,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,20,10,0,30
1403,Marshall Is,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1404,"Micronesia, F S",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1405,Nauru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1406,N Mariana Is,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1407,Palau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1501,Cook Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1502,Fiji,10,20,10,10,20,10,10,10,10,10,10,10,10,10,20,10,0,70,60
1503,French Poly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1504,Niue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1505,Samoa,0,0,0,0,10,0,10,0,10,10,10,10,10,0,0,10,80,450,100
1506,Samoa American,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1507,Tokelau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1508,Tonga,0,0,0,0,0,0,0,0,0,10,10,0,10,10,50,580,190,150,180
1511,Tuvalu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1512,Wallis/Futuna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1513,Pitcairn Is,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1599,"Polynesia, nec",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1601,Adelie Land,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1602,Argentinian A T,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1603,Australian A T,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1604,British A T,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1605,Chilean A T,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1606,Queen Maud Land,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1607,Ross Dependency,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100,"UK, CIs & IOM",360,410,370,420,420,370,320,330,260,270,250,250,250,220,240,280,70,200,220
2201,Ireland,20,20,20,30,20,30,30,40,30,20,20,20,20,10,20,10,0,20,20
2301,Austria,0,10,10,10,0,0,0,0,10,0,10,0,10,0,0,0,0,0,0
2302,Belgium,10,0,0,10,0,0,0,10,10,0,10,10,10,10,10,10,0,10,0
2303,France,20,20,20,30,30,40,40,40,50,60,50,40,60,60,40,60,10,20,40
2304,Germany,50,60,60,60,50,50,40,30,50,40,60,50,70,40,50,40,10,30,40
2305,Liechtenstein,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2306,Luxembourg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2307,Monaco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2308,Netherlands,20,20,30,20,30,20,30,30,20,10,20,20,20,20,20,40,10,10,20
2311,Switzerland,20,10,10,10,10,10,10,10,10,10,10,10,20,10,10,10,0,0,10
2401,Denmark,0,10,0,0,10,10,10,10,0,0,0,10,10,10,0,10,0,10,0
2402,Faroe Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2403,Finland,0,10,0,10,0,0,0,0,0,10,10,0,10,0,10,0,0,0,0
2404,Greenland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2405,Iceland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2406,Norway,0,10,10,0,0,0,0,0,0,0,0,10,0,10,0,0,0,0,0
2407,Sweden,10,10,10,10,10,10,10,10,10,10,10,10,0,10,10,10,0,10,10
2408,Aland Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3101,Andorra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3102,Gibraltar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3103,Holy See,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3104,Italy,10,20,10,10,10,10,10,10,40,30,30,20,40,20,30,10,10,10,20
3105,Malta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3106,Portugal,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
3107,San Marino,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3108,Spain,0,0,20,10,0,0,10,10,10,10,10,10,10,10,10,10,10,10,10
3201,Albania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3202,Bosnia/Herzegov,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3203,Bulgaria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3204,Croatia,10,0,10,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0
3205,Cyprus,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0
3206,North Macedonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3207,Greece,10,20,10,10,0,10,10,20,20,20,10,10,10,10,10,10,0,0,10
3208,Moldova,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3211,Romania,0,10,10,0,10,10,0,0,0,0,0,0,0,0,0,10,0,0,0
3212,Slovenia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0
3214,Montenegro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3215,Serbia,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
3216,Kosovo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3301,Belarus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
3302,Czechia,0,0,0,0,0,0,10,10,10,0,0,10,10,0,0,0,0,0,10
3303,Estonia,0,0,0,0,0,0,10,0,0,10,10,0,0,0,0,10,0,10,0
3304,Hungary,0,10,0,0,0,0,0,0,10,0,0,0,0,10,0,0,0,0,0
3305,Latvia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3306,Lithuania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3307,Poland,20,10,10,10,10,10,10,10,0,0,10,10,10,10,20,10,0,10,0
3308,Russia,0,10,10,10,10,10,10,20,10,10,10,10,0,20,20,20,0,10,10
3311,Slovakia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3312,Ukraine,0,0,0,10,10,10,0,0,0,10,10,10,10,10,10,10,0,20,10
4101,Algeria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4102,Egypt,10,20,10,10,10,10,0,0,20,10,0,10,0,20,50,40,0,10,20
4103,Libya,0,0,0,0,0,0,20,10,0,0,0,0,0,0,0,0,0,0,0
4104,Morocco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
