SACC code(d),Country of birth(d),2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23(e)
1101,Australia,5100,5540,5390,5700,5890,5470,6080,5340,5590,4720,4710,4800,5280,5010,5220,6340,3100,3200,3700
1102,Norfolk Island(f),0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
1199,"Aust E T, nec",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1201,New Zealand,3120,3660,4440,6660,6260,4830,7600,11050,8840,4800,3570,2780,2390,2390,2530,2040,1150,2310,4720
1301,New Caledonia,10,0,0,0,0,10,10,0,10,0,0,0,0,0,0,0,0,10,10
1302,PNG,50,140,170,210,210,140,110,190,180,70,60,50,40,60,70,90,30,160,290
1303,Solomon Islands,10,10,0,20,0,0,10,10,10,10,10,0,0,10,0,20,0,10,170
1304,Vanuatu,0,0,0,0,0,10,0,10,10,0,0,10,0,10,20,160,300,500,270
1401,Guam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1402,Kiribati,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,10,0,0
1403,Marshall Is,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1404,"Micronesia, F S",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1405,Nauru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1406,N Mariana Is,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1407,Palau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1501,Cook Islands,10,10,10,30,40,30,40,50,80,70,30,30,10,20,30,20,20,30,60
1502,Fiji,30,30,30,80,90,70,100,120,110,80,70,50,50,60,90,100,100,140,450
1503,French Poly,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,10,0,0,0
1504,Niue,0,0,0,10,10,10,10,0,10,0,0,0,0,0,0,0,0,0,0
1505,Samoa,20,20,30,40,50,50,70,110,120,90,70,60,50,60,60,70,20,80,90
1506,Samoa American,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
1507,Tokelau,0,10,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,10
1508,Tonga,10,10,10,10,20,30,30,40,50,30,30,20,20,20,40,120,220,250,230
1511,Tuvalu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1512,Wallis/Futuna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1513,Pitcairn Is,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1599,"Polynesia, nec",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1601,Adelie Land,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1602,Argentinian A T,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1603,Australian A T,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1604,British A T,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1605,Chilean A T,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1606,Queen Maud Land,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1607,Ross Dependency,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100,"UK, CIs & IOM",8980,10930,12010,12720,11630,9540,11010,13710,11690,8550,6630,5770,4810,4200,4280,4530,1360,2880,5900
2201,Ireland,590,750,820,1350,2030,1680,3470,5950,3820,1730,1010,780,650,710,710,730,250,690,2110
2301,Austria,50,50,60,70,40,60,60,40,30,30,30,30,30,20,50,30,10,20,30
2302,Belgium,40,60,50,70,80,80,110,130,140,90,90,90,80,120,120,170,10,40,120
2303,France,230,330,470,630,640,670,770,960,1000,980,1000,810,730,780,820,1170,80,430,1260
2304,Germany,440,510,610,790,700,770,890,830,770,700,820,750,720,530,630,730,100,320,660
2305,Liechtenstein,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2306,Luxembourg,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0
2307,Monaco,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10
2308,Netherlands,290,330,360,370,380,330,430,420,390,320,280,250,270,240,210,260,60,90,230
2311,Switzerland,170,180,180,160,170,170,220,120,110,100,80,90,80,60,80,110,30,40,100
2401,Denmark,50,70,80,70,60,70,90,70,70,50,60,70,50,40,30,40,10,20,60
2402,Faroe Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2403,Finland,30,40,20,30,30,40,60,60,60,60,70,60,50,30,40,40,10,20,50
2404,Greenland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2405,Iceland,10,10,10,10,10,10,10,0,0,0,0,0,0,10,10,0,0,0,0
2406,Norway,140,110,180,140,100,110,130,110,100,80,70,50,40,50,40,40,20,30,50
2407,Sweden,110,140,130,140,140,140,200,150,170,150,140,120,110,90,100,80,30,50,100
2408,Aland Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3101,Andorra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3102,Gibraltar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3103,Holy See,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3104,Italy,230,220,270,280,340,390,470,650,1080,1080,980,750,600,410,480,650,70,230,810
3105,Malta,10,10,20,20,10,10,30,10,20,10,10,10,10,10,10,0,0,0,10
3106,Portugal,50,50,40,60,80,60,70,90,100,90,60,60,40,40,40,40,10,30,50
3107,San Marino,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3108,Spain,70,60,90,70,100,90,130,180,210,170,130,110,110,100,140,180,40,80,240
3201,Albania,10,20,10,10,10,10,10,10,20,20,20,20,20,10,10,10,10,10,20
3202,Bosnia/Herzegov,60,80,60,60,60,60,60,50,30,50,50,30,40,50,40,40,10,10,30
3203,Bulgaria,20,20,20,20,30,30,30,50,30,20,10,20,20,20,10,20,10,10,20
3204,Croatia,80,80,70,70,60,60,70,60,60,70,60,60,40,40,30,50,20,20,40
3205,Cyprus,0,20,10,20,10,10,10,20,30,20,10,10,10,0,10,10,0,0,10
3206,North Macedonia,80,80,80,120,80,70,80,70,90,80,60,90,60,60,60,60,10,30,40
3207,Greece,60,40,40,40,30,30,50,60,70,60,50,40,40,30,20,40,10,10,20
3208,Moldova,0,10,0,10,10,0,10,10,10,10,20,10,10,0,0,10,0,10,10
3211,Romania,60,70,90,90,80,80,60,110,120,100,80,60,40,40,40,80,10,30,60
3212,Slovenia,10,10,20,20,10,10,20,20,30,30,20,0,10,10,20,10,0,0,0
3214,Montenegro,10,0,10,0,10,10,0,0,0,0,0,0,0,10,0,0,0,0,10
3215,Serbia,30,40,60,60,70,50,40,80,80,60,40,30,40,30,30,40,20,20,30
3216,Kosovo,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
3301,Belarus,0,0,10,10,10,10,20,10,20,10,10,10,10,10,10,10,10,10,10
3302,Czechia,50,40,50,70,80,60,50,70,90,60,90,70,70,30,30,60,10,20,50
3303,Estonia,20,20,10,40,130,180,300,330,390,330,330,270,230,210,270,230,10,40,270
3304,Hungary,20,40,30,70,50,40,50,90,80,70,40,40,40,40,30,30,0,20,30
3305,Latvia,10,10,20,10,20,20,20,30,30,20,10,10,20,10,20,10,0,10,10
3306,Lithuania,10,20,10,20,30,30,20,40,40,30,20,40,30,20,30,20,0,10,30
3307,Poland,130,140,160,180,200,180,160,220,240,230,220,180,130,130,130,150,40,90,130
3308,Russia,70,100,80,150,120,120,180,180,250,170,160,110,120,90,120,160,30,120,300
3311,Slovakia,20,30,30,30,30,30,30,50,50,50,40,50,30,30,30,30,0,20,40
3312,Ukraine,30,50,30,60,60,70,70,80,100,90,80,60,60,50,80,60,30,350,170
4101,Algeria,0,10,10,10,10,20,10,0,20,10,10,10,10,10,10,10,0,0,20
4102,Egypt,90,80,110,70,120,100,70,150,190,170,150,130,130,90,80,110,50,110,200
4103,Libya,10,10,10,30,40,60,180,60,50,20,20,20,10,10,10,10,10,0,10
4104,Morocco,0,10,10,10,10,10,20,10,20,20,20,10,10,10,20,10,0,20,30
4105,Sudan,810,450,390,220,180,180,160,90,90,80,70,50,60,90,30,60,30,40,70
4106,Tunisia,0,0,0,0,0,10,10,0,10,10,10,10,10,10,0,10,0,0,10
4107,Western Sahara,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4108,Sp North Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4111,South Sudan,0,0,0,0,0,0,0,10,30,30,50,40,40,10,20,10,0,10,20
4201,Bahrain,20,20,10,20,20,20,20,20,20,20,10,20,10,10,10,20,10,20,20
4202,Gaza Str/W Bank,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4203,Iran,170,160,190,220,330,360,440,610,790,510,570,420,350,280,320,320,80,270,500
4204,Iraq,90,130,140,230,410,360,320,160,230,330,360,270,210,220,160,130,70,120,140
