SACC code(e),Country of birth(e),2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23(f)
1101,Australia,65960,64890,65710,68410,58750,58140,61290,58590,60710,65710,69350,69770,66690,65310,62770,42640,29550,49450,65330
1102,Norfolk Island(g),10,10,10,20,10,20,20,10,10,20,20,30,10,0,0,0,0,0,0
1199,"Aust E T, nec",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1201,New Zealand,15160,14680,14200,14340,14940,15810,14390,13690,16770,21200,22370,22740,20820,18270,17630,16010,14150,10940,12160
1301,New Caledonia,140,120,100,120,100,110,150,90,100,100,80,90,110,130,120,90,50,60,90
1302,PNG,850,900,850,840,930,920,800,820,780,730,810,810,800,870,910,770,530,510,480
1303,Solomon Islands,140,120,130,130,100,140,120,130,120,100,90,90,90,130,150,100,80,70,310
1304,Vanuatu,110,90,70,80,100,70,100,60,50,60,80,80,60,100,70,140,520,330,2110
1401,Guam,10,10,0,10,10,10,0,0,0,10,10,10,10,10,0,0,0,0,10
1402,Kiribati,80,70,60,40,30,20,40,40,30,30,30,40,30,50,40,80,40,60,170
1403,Marshall Is,0,10,10,0,10,0,0,0,0,0,0,0,10,10,10,0,0,0,0
1404,"Micronesia, F S",10,10,10,10,0,0,0,10,0,0,10,10,10,0,0,0,0,0,0
1405,Nauru,50,40,80,40,20,30,20,20,10,40,20,20,30,50,30,40,30,40,50
1406,N Mariana Is,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0
1407,Palau,0,10,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0
1501,Cook Islands,190,170,160,200,140,140,150,180,170,200,230,270,280,240,240,240,140,150,220
1502,Fiji,1270,980,780,750,680,690,750,690,720,760,880,890,900,990,920,880,540,760,870
1503,French Poly,40,40,20,30,50,20,40,50,40,40,50,30,40,30,50,30,30,20,30
1504,Niue,30,20,20,20,20,20,20,20,10,20,20,30,30,30,20,20,30,20,20
1505,Samoa,570,560,540,510,470,540,490,430,480,560,690,800,780,900,930,950,700,730,1700
1506,Samoa American,20,20,20,20,10,10,10,20,20,20,30,30,30,30,30,10,20,20,20
1507,Tokelau,20,10,30,30,30,30,30,20,30,50,40,40,50,30,30,40,20,10,30
1508,Tonga,290,250,220,220,200,200,240,220,200,250,290,360,320,390,360,360,420,390,1200
1511,Tuvalu,10,20,20,10,10,20,20,10,10,20,20,20,10,10,20,20,30,10,20
1512,Wallis/Futuna,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
1513,Pitcairn Is,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1599,"Polynesia, nec",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0
1601,Adelie Land,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1602,Argentinian A T,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1603,Australian A T,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1604,British A T,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1605,Chilean A T,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1606,Queen Maud Land,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1607,Ross Dependency,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100,"UK, CIs & IOM",17400,17840,16930,19920,18880,21240,20920,19180,21230,24930,24520,23640,22620,21920,21860,17000,10810,15100,12840
2201,Ireland,2520,2520,2710,2980,2990,3870,3610,3120,4910,7770,7220,5990,4660,4040,4010,3360,2180,3430,2230
2301,Austria,350,370,320,350,350,330,380,270,250,260,240,250,260,250,230,220,160,200,190
2302,Belgium,190,200,250,300,360,360,370,290,320,390,450,480,510,540,630,500,350,400,270
2303,France,1600,1900,1780,2530,2750,3730,3770,3000,3460,3990,4090,4550,4660,4700,5150,4600,3120,3340,2400
2304,Germany,2540,2860,2880,4400,3760,3830,4100,3410,3540,3950,3820,4960,5010,4060,4410,3560,2100,2410,2190
2305,Liechtenstein,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2306,Luxembourg,10,10,10,20,10,10,10,10,10,10,20,10,20,20,20,20,10,10,20
2307,Monaco,0,10,0,0,10,10,10,10,10,10,10,10,10,10,10,0,10,10,0
2308,Netherlands,1070,1020,1150,1570,1410,1370,1300,1060,1150,1320,1300,1430,1640,1400,1590,1250,880,1040,810
2311,Switzerland,600,660,700,750,700,660,670,630,680,590,510,540,600,630,620,510,370,410,390
2401,Denmark,410,480,390,460,480,430,440,370,420,450,420,410,390,440,420,320,280,290,230
2402,Faroe Islands,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0
2403,Finland,180,260,230,250,260,290,290,260,310,330,310,380,340,430,410,340,220,230,160
2404,Greenland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2405,Iceland,40,40,30,40,30,30,30,30,20,10,20,40,30,20,30,20,10,20,10
2406,Norway,960,950,770,660,590,610,590,550,510,500,480,400,400,400,460,330,260,200,180
2407,Sweden,710,780,890,940,910,950,1090,830,990,1070,1040,1080,1150,1050,1020,870,520,580,440
2408,Aland Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3101,Andorra,0,0,0,0,0,0,10,0,0,0,0,0,0,10,0,10,0,10,0
3102,Gibraltar,10,0,10,10,10,0,10,10,10,10,10,10,10,0,10,10,0,0,10
3103,Holy See,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3104,Italy,1080,1090,1060,1290,1200,1380,1310,1260,1690,2480,2960,3260,3330,3320,3380,2640,1710,1970,1440
3105,Malta,170,120,140,120,160,150,140,110,170,150,140,130,110,120,110,110,70,80,110
3106,Portugal,250,250,250,250,260,220,210,180,190,230,250,280,320,320,310,300,180,290,260
3107,San Marino,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3108,Spain,460,420,430,590,460,460,500,470,600,890,910,1050,1210,1380,1520,1380,940,1200,810
3201,Albania,60,30,40,30,30,40,30,40,30,50,80,80,90,120,130,100,90,90,70
3202,Bosnia/Herzegov,370,380,360,370,380,310,340,300,350,400,340,310,320,290,280,230,260,470,460
3203,Bulgaria,80,120,100,130,90,110,110,100,60,90,110,120,130,110,130,120,100,160,110
3204,Croatia,490,590,500,520,450,440,350,380,370,420,360,410,360,330,310,230,260,520,510
3205,Cyprus,220,190,200,160,150,150,150,110,120,140,140,170,170,150,140,130,100,130,150
3206,North Macedonia,400,370,370,380,340,290,330,300,400,400,340,310,280,320,280,910,280,330,430
3207,Greece,910,880,800,840,690,570,550,420,540,720,870,770,780,890,850,750,640,840,1000
3208,Moldova,10,20,30,10,20,20,10,20,20,20,30,20,30,30,30,20,30,30,20
3211,Romania,220,240,280,320,280,310,270,190,230,280,270,310,270,270,270,240,220,350,260
3212,Slovenia,80,60,70,90,80,90,70,60,70,70,100,80,90,90,80,90,50,90,70
3214,Montenegro,10,10,10,20,20,20,10,10,10,10,10,20,20,20,20,10,10,20,40
3215,Serbia,80,80,140,170,190,180,180,170,200,170,190,240,190,240,200,170,260,420,320
3216,Kosovo,0,0,0,0,10,0,10,0,10,10,10,10,10,20,20,10,20,10,10
3301,Belarus,20,20,10,30,20,30,40,30,30,30,30,40,40,40,40,30,40,50,40
3302,Czechia,520,500,440,480,490,430,480,380,340,370,430,440,430,520,480,440,270,270,220
3303,Estonia,50,70,60,90,100,200,370,390,430,550,650,570,520,510,600,560,310,240,150
3304,Hungary,270,240,220,260,230,270,270,240,240,300,310,290,270,310,350,270,220,210,170
3305,Latvia,70,90,80,90,70,60,70,60,50,60,70,50,50,70,60,40,40,40,50
3306,Lithuania,60,70,50,50,80,30,50,70,70,90,90,120,110,130,180,170,130,90,90
3307,Poland,780,850,880,930,750,790,810,660,710,790,720,830,780,810,950,760,650,790,610
3308,Russia,390,430,370,610,460,420,440,400,440,520,550,550,530,560,630,530,580,530,490
3311,Slovakia,250,270,250,260,270,210,210,170,180,210,200,260,240,290,290,270,150,180,120
3312,Ukraine,220,280,260,260,270,220,270,180,190,210,210,280,270,230,300,240,210,220,250
4101,Algeria,50,50,50,50,50,60,60,50,50,40,50,60,50,50,50,50,40,60,50
4102,Egypt,260,280,280,320,320,360,340,300,300,370,420,410,400,400,370,370,400,460,460
4103,Libya,30,30,40,40,60,80,90,130,260,320,120,50,60,50,50,40,30,80,50
4104,Morocco,40,30,50,60,50,50,60,50,60,60,60,60,80,80,80,60,60,90,80
4105,Sudan,70,100,150,190,240,230,300,260,210,280,210,190,170,190,220,420,250,270,230
4106,Tunisia,10,20,10,20,10,30,20,20,30,20,20,20,20,20,20,20,10,20,20
4107,Western Sahara,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4108,Sp North Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4111,South Sudan,0,0,0,0,0,0,0,0,10,10,10,20,10,10,30,50,30,40,50
4201,Bahrain,50,70,90,100,70,120,80,60,70,70,60,50,50,60,60,50,40,30,40
4202,Gaza Str/W Bank,0,0,10,0,0,0,0,10,10,10,10,0,0,0,0,0,0,10,0
