SACC code(d),Country of birth(d),2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23(e)
1101,Australia,13370,13300,13230,13580,12100,11730,12190,11240,12060,13320,14520,14350,13520,13160,13150,8730,5540,8590,12870
1102,Norfolk Island(f),10,0,0,10,10,10,10,10,0,10,10,10,0,0,0,0,0,0,0
1199,"Aust E T, nec",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1201,New Zealand,5290,5020,4950,5170,5830,6320,5470,5230,6050,7860,8090,8110,7080,6470,6380,5720,4610,3350,4160
1301,New Caledonia,60,60,50,60,50,60,70,40,50,40,40,40,40,40,50,30,10,20,40
1302,PNG,490,450,430,370,410,440,390,380,380,320,420,460,440,480,530,460,300,280,260
1303,Solomon Islands,90,70,70,80,50,90,60,70,50,50,40,20,40,70,90,50,30,40,100
1304,Vanuatu,40,30,40,30,40,30,40,20,10,20,30,30,20,50,20,70,140,90,390
1401,Guam,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1402,Kiribati,30,30,20,20,20,10,20,20,10,20,10,10,10,20,20,30,10,20,40
1403,Marshall Is,0,10,10,0,10,0,0,0,0,0,0,0,0,10,0,0,0,0,0
1404,"Micronesia, F S",0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1405,Nauru,20,30,50,20,10,20,20,10,10,30,10,10,20,40,20,20,20,30,30
1406,N Mariana Is,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1407,Palau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1501,Cook Islands,40,40,30,60,30,40,40,50,60,60,70,80,90,80,80,70,60,40,60
1502,Fiji,220,180,160,180,150,190,160,180,180,210,210,230,220,270,240,200,130,160,210
1503,French Poly,20,20,10,20,20,10,30,20,10,20,20,10,10,10,20,10,20,10,10
1504,Niue,10,10,0,10,0,10,10,10,0,10,10,10,10,10,10,10,10,0,0
1505,Samoa,160,150,140,150,150,170,150,140,130,170,240,270,230,280,270,280,190,200,550
1506,Samoa American,10,0,0,10,0,0,10,10,0,10,10,10,10,10,10,0,0,10,10
1507,Tokelau,10,0,10,10,10,10,10,10,10,10,10,20,20,10,20,20,10,0,10
1508,Tonga,40,40,30,50,40,30,30,30,30,60,60,50,50,110,90,110,130,80,280
1511,Tuvalu,0,0,10,0,0,10,10,10,0,0,10,10,10,0,10,10,10,10,10
1512,Wallis/Futuna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1513,Pitcairn Is,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1599,"Polynesia, nec",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1601,Adelie Land,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1602,Argentinian A T,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1603,Australian A T,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1604,British A T,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1605,Chilean A T,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1606,Queen Maud Land,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1607,Ross Dependency,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100,"UK, CIs & IOM",3310,3530,3380,4060,3910,4530,4360,3910,4310,5170,4980,4610,4340,4360,4250,3210,2030,2750,2680
2201,Ireland,280,280,370,500,570,790,670,510,710,1150,1130,790,550,540,450,350,220,290,250
2301,Austria,80,100,60,80,70,70,70,50,40,50,50,40,70,50,50,50,20,40,40
2302,Belgium,40,50,50,60,70,60,80,40,60,90,110,110,110,100,90,90,50,60,40
2303,France,280,480,370,600,550,730,750,610,680,800,830,860,810,770,840,790,460,490,400
2304,Germany,490,660,700,1090,870,860,860,740,800,850,880,1180,1070,840,850,690,350,420,430
2305,Liechtenstein,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2306,Luxembourg,0,0,0,10,0,0,0,0,0,0,10,0,0,0,0,10,0,0,0
2307,Monaco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2308,Netherlands,260,230,280,400,310,310,300,220,260,280,290,280,320,210,270,250,140,160,160
2311,Switzerland,140,170,160,180,140,130,150,130,120,140,120,110,130,140,130,130,70,80,90
2401,Denmark,110,100,90,120,110,100,90,70,100,110,80,90,90,90,90,70,50,50,40
2402,Faroe Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2403,Finland,40,70,50,70,50,80,70,70,80,100,70,80,80,120,110,90,40,50,50
2404,Greenland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2405,Iceland,10,10,10,10,10,10,10,10,10,0,0,10,10,0,10,0,0,0,0
2406,Norway,330,290,230,180,140,180,160,180,150,170,140,140,110,130,150,110,70,60,60
2407,Sweden,170,210,260,200,220,210,270,190,240,260,230,210,250,240,200,200,110,110,110
2408,Aland Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3101,Andorra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3102,Gibraltar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
